cgpa,attendance_pct,coding_score,projects_completed,internship_months,backlogs,target
9.47,41.32,1,1,7,0,0
4.24,66.79,4,2,17,5,1
8.97,62.8,4,4,25,4,1
8.16,49.54,6,2,25,1,0
8.54,64.46,3,3,18,3,1
6.47,58.34,3,5,30,2,1
7.51,0.0,1,4,30,1,0
7.61,77.94,2,5,51,3,1
7.95,55.1,1,2,1,4,1
7.07,57.51,5,1,15,3,0
5.59,39.55,1,3,34,1,0
7.67,51.08,3,2,30,2,0
6.26,49.53,2,3,25,5,1
7.87,42.22,5,2,12,2,0
7.4,49.97,2,4,26,3,1
7.13,48.31,2,2,35,4,1
8.13,35.86,4,3,23,4,1
7.51,46.46,2,1,40,3,1
6.82,51.65,1,2,4,2,1
7.6,45.39,2,3,17,3,1
8.6,32.96,3,4,40,4,0
6.08,12.73,3,6,20,2,1
9.13,36.95,1,4,11,3,0
8.46,26.99,0,4,11,1,1
5.91,30.89,4,2,19,0,0
7.79,19.57,6,3,20,4,1
8.88,22.81,3,2,4,5,0
6.84,66.68,3,1,32,2,0
6.64,43.76,4,4,35,6,1
8.94,40.36,2,6,38,6,1
8.05,17.43,1,5,3,7,1
7.39,27.46,3,4,17,2,0
7.7,44.46,3,6,50,7,1
7.84,45.35,5,2,47,0,0
6.91,60.09,4,2,24,4,0
6.49,34.77,3,6,36,3,1
6.31,32.05,3,2,16,5,1
8.14,35.14,1,4,10,3,1
6.86,34.36,1,4,37,5,1
9.02,82.52,3,0,28,4,1
7.01,0.0,2,0,6,3,0
6.89,32.34,3,2,39,4,0
4.8,47.91,6,1,26,3,1
7.36,63.58,2,2,25,2,1
7.74,53.49,5,4,1,2,0
7.8,77.29,1,4,56,5,1
8.62,48.27,1,2,31,3,1
10.0,61.8,2,6,55,1,0
7.51,43.17,7,2,25,3,0
6.08,29.69,2,2,29,3,0
5.11,13.63,2,1,50,2,0
10.0,63.53,0,3,13,1,0
5.59,54.48,5,4,34,4,1
5.41,41.13,3,4,35,0,0
6.88,54.39,3,0,46,4,0
5.18,42.54,4,0,12,4,0
5.15,45.92,4,7,57,1,0
9.67,69.67,0,0,22,3,0
9.04,83.74,3,3,34,7,0
6.38,64.79,1,0,4,3,1
4.95,53.29,5,4,56,3,0
7.24,67.23,2,4,56,4,1
7.76,32.29,1,5,16,1,0
7.3,36.57,6,2,57,2,0
4.33,59.55,1,1,43,2,1
7.44,76.16,1,3,12,2,1
7.77,62.43,2,2,37,3,1
5.24,38.04,1,2,13,0,0
8.07,71.11,0,0,17,4,1
6.83,22.98,0,2,21,4,1
8.13,38.07,3,5,12,2,0
10.0,45.64,3,3,39,1,0
6.4,35.08,2,3,17,2,1
7.49,64.59,2,7,9,4,1
8.71,41.45,1,2,12,0,0
7.19,40.17,4,3,33,2,1
6.7,47.09,6,3,10,2,0
5.4,37.52,2,3,50,2,0
6.08,57.97,1,3,25,3,0
6.19,72.81,1,4,36,3,1
7.11,52.29,5,3,17,4,0
4.0,64.37,5,0,23,2,1
8.36,85.41,3,4,59,2,1
4.3,42.32,1,1,11,1,1
8.59,60.02,1,3,18,2,1
5.82,57.5,5,2,7,2,0
6.99,13.8,4,4,39,2,1
6.95,49.22,1,1,27,5,1
6.56,53.95,0,3,58,2,0
6.6,70.94,1,2,1,4,1
6.44,65.72,3,4,36,2,1
8.21,61.81,3,3,1,2,1
8.05,52.08,3,3,56,2,0
4.0,66.75,1,3,23,3,0
6.64,83.17,6,4,11,1,0
8.76,43.4,1,2,15,1,0
8.94,74.65,6,5,53,3,0
9.08,76.77,2,3,50,3,0
7.4,35.59,4,2,13,4,0
6.55,85.56,6,1,2,3,0
6.95,56.28,6,2,43,2,0
6.88,68.02,5,4,21,4,1
7.13,62.91,2,2,16,2,0
6.27,44.15,2,4,26,5,1
6.82,76.58,5,4,3,1,1
8.62,39.58,5,3,37,5,0
6.24,82.37,6,1,60,6,1
7.6,60.2,5,2,2,1,1
7.99,37.06,5,6,49,4,0
5.72,30.86,6,3,9,5,0
5.95,44.18,2,1,38,3,0
7.79,62.15,1,4,52,5,1
8.14,55.57,2,4,30,5,0
7.94,60.7,2,4,37,3,0
4.95,63.88,2,1,10,0,1
9.56,80.16,4,1,4,1,0
7.46,40.8,3,2,51,4,1
9.29,31.94,3,0,48,4,0
7.97,43.66,4,1,51,0,0
7.97,42.5,1,3,5,3,1
4.86,55.28,9,3,38,0,0
7.53,67.76,6,2,6,9,1
8.48,43.04,3,2,15,2,0
8.02,1.32,4,4,8,0,0
8.53,34.31,5,4,40,3,0
8.52,27.38,2,5,32,4,1
6.58,59.38,3,1,3,2,0
7.63,51.65,2,1,53,1,0
10.0,61.16,2,2,51,5,1
7.35,52.59,3,0,6,3,0
6.61,59.78,2,4,33,1,0
7.78,89.21,4,3,41,5,1
7.53,31.29,1,6,59,5,1
6.48,67.84,5,6,20,1,1
6.81,73.21,2,1,59,2,0
5.45,51.64,3,4,13,2,1
6.68,45.96,1,0,6,6,1
9.29,78.44,3,2,47,4,0
8.36,15.41,3,6,38,1,0
6.44,75.78,4,2,33,4,0
7.37,81.41,4,1,49,2,0
6.16,73.12,2,3,11,3,1
7.55,49.34,1,3,60,3,1
7.63,36.31,4,4,25,2,0
6.48,28.56,3,3,37,5,0
7.62,55.49,1,5,47,3,1
8.09,71.61,1,4,45,3,0
7.22,100.0,5,4,24,6,1
8.36,40.62,2,2,7,5,1
10.0,73.51,2,5,55,6,0
6.89,82.02,2,1,25,0,1
7.82,41.91,5,2,51,2,0
8.66,60.29,2,3,31,4,1
6.79,41.13,1,2,45,1,0
8.77,36.5,1,3,45,1,0
5.16,32.22,6,1,12,3,0
5.52,59.03,1,4,57,4,1
8.45,46.53,6,2,28,3,0
6.61,58.49,3,3,10,2,1
7.2,38.86,5,2,16,3,1
4.63,38.66,1,4,3,3,1
7.92,51.6,2,3,10,1,0
4.97,66.6,5,3,29,3,1
9.01,54.57,3,1,47,1,0
4.0,44.65,5,2,2,5,0
6.5,41.57,1,5,50,3,1
6.86,58.95,2,2,45,2,1
9.1,90.8,0,0,9,4,1
7.93,100.0,5,4,10,4,0
7.99,55.45,3,3,54,3,0
8.49,43.8,6,2,60,2,0
7.71,74.53,2,7,4,5,1
7.81,46.96,2,2,19,5,0
7.94,4.35,2,3,4,2,0
4.73,43.87,7,3,60,4,0
8.25,64.01,1,5,47,3,1
7.62,43.79,2,4,14,5,1
6.69,73.16,2,2,50,5,1
7.42,49.42,2,2,14,1,0
5.71,49.14,5,4,14,1,1
8.54,65.01,0,5,48,3,0
6.13,22.55,2,2,21,3,1
8.2,34.55,1,1,43,2,1
7.94,77.9,3,7,33,3,1
6.11,33.99,1,3,14,4,1
6.62,68.39,1,1,35,6,0
6.69,36.86,5,3,42,2,1
7.39,46.91,4,3,55,3,1
6.83,7.98,4,1,16,6,0
5.43,69.43,6,1,58,2,0
8.8,42.22,0,5,53,0,1
7.91,38.86,2,6,31,3,1
8.16,27.87,3,4,54,5,0
5.85,34.38,1,5,43,2,1
7.62,35.84,1,2,38,3,1
7.78,68.85,3,5,18,4,1
9.88,51.4,5,4,37,1,0
6.56,54.0,2,4,1,2,0
7.86,83.96,5,1,49,3,1
7.04,39.77,3,3,29,1,1
9.03,65.19,4,1,48,2,0
6.77,63.71,2,3,9,5,1
7.16,51.95,5,3,5,2,0
6.09,46.25,3,2,18,2,0
7.92,91.26,1,5,40,4,1
8.22,37.72,4,3,44,4,0
7.17,43.14,4,4,14,4,1
7.58,55.84,1,6,55,2,0
7.7,31.9,4,2,13,3,1
8.16,51.8,2,3,40,2,1
4.0,70.33,6,2,15,5,1
4.0,49.95,3,2,53,1,0
7.61,14.09,0,5,36,1,0
6.34,75.43,5,3,60,5,1
8.34,46.18,4,0,38,2,0
7.39,42.25,3,1,33,6,0
10.0,61.54,6,2,57,2,0
5.4,38.81,1,2,28,2,1
6.0,69.71,4,4,26,1,0
6.47,47.93,3,2,5,4,0
6.49,38.79,1,2,11,3,1
6.43,48.02,6,2,55,5,0
7.88,22.91,3,1,42,2,0
5.91,18.44,4,2,16,1,0
7.25,69.22,3,1,48,3,0
6.38,63.58,2,1,27,3,1
8.52,8.63,2,2,30,3,0
6.37,58.48,3,2,24,3,0
4.93,56.18,6,3,48,4,0
7.82,48.51,3,2,53,2,0
9.56,47.42,2,1,32,6,0
6.87,21.79,6,5,22,2,0
7.4,60.16,6,3,30,1,0
8.1,69.65,4,3,40,7,1
10.0,39.07,6,3,47,3,0
9.79,40.5,6,0,59,4,0
7.25,58.69,5,2,13,1,0
7.78,22.99,3,8,28,1,0
6.32,43.93,0,6,9,4,1
6.89,33.86,0,6,7,2,1
8.42,89.72,0,1,32,0,1
8.32,34.92,1,3,24,5,0
4.0,67.37,2,2,51,4,1
8.08,10.39,3,3,39,3,0
7.94,46.37,6,5,14,1,0
7.22,57.07,4,4,18,4,1
8.74,74.4,5,1,8,4,1
6.87,26.55,2,4,44,3,0
7.57,47.22,1,0,31,3,1
6.9,7.09,3,4,58,4,0
5.83,50.71,2,5,6,2,0
7.41,29.03,1,6,41,4,1
7.93,0.0,4,4,36,5,0
5.88,46.4,4,1,37,4,0
8.82,62.3,5,0,18,0,0
5.42,50.0,1,2,45,4,1
7.79,33.54,2,1,16,2,1
7.76,77.06,2,3,41,2,0
6.72,41.5,0,5,24,3,0
6.26,50.4,3,4,33,1,1
8.41,60.31,6,2,58,2,0
10.0,49.39,2,5,42,2,1
6.52,52.94,5,6,21,3,1
8.51,7.65,3,4,5,4,1
5.83,79.3,1,1,41,7,0
8.0,57.95,2,7,14,3,1
6.55,45.65,2,1,23,8,1
5.82,25.97,5,3,27,2,0
6.81,0.0,1,2,56,2,0
8.43,52.13,3,3,55,1,0
8.42,42.07,2,6,7,3,1
8.05,67.18,5,6,59,6,1
6.84,72.6,2,4,9,4,1
5.94,58.73,3,1,23,3,1
6.54,29.68,0,4,26,5,1
7.96,73.32,5,2,57,5,1
6.84,52.58,2,4,57,2,1
8.45,37.91,1,2,14,4,1
6.6,41.4,3,2,8,1,1
5.08,29.07,3,6,39,1,1
7.14,35.8,2,2,12,2,0
7.64,47.3,4,2,41,6,1
5.44,16.31,3,4,22,2,0
5.65,64.83,1,3,19,3,1
8.69,70.71,4,3,9,2,0
7.68,16.12,2,1,19,2,1
9.24,53.85,4,6,52,4,0
8.4,24.87,1,2,13,5,0
5.72,22.96,3,1,52,1,0
6.51,84.9,5,1,17,4,0
6.93,64.11,2,4,28,5,1
6.78,60.45,2,5,11,6,1
7.66,43.29,4,4,14,4,1
6.98,38.86,1,2,41,7,1
7.46,23.36,1,1,19,1,0
4.0,90.14,5,5,24,2,1
8.71,53.75,3,1,29,1,0
7.11,74.57,3,3,36,3,1
7.96,54.67,4,2,28,3,1
6.55,32.13,2,1,42,3,0
4.83,67.4,5,1,32,2,1
7.05,43.2,2,0,29,2,1
8.11,29.7,3,4,12,1,0
6.13,81.53,2,2,39,3,1
7.72,47.52,1,6,27,3,1
9.05,48.82,3,1,7,4,0
7.19,37.94,3,2,38,2,0
6.88,49.47,4,2,40,4,1
7.52,90.89,2,2,3,2,1
6.24,40.83,5,3,46,5,1
5.47,61.76,1,1,19,8,1
5.65,62.89,3,4,19,2,1
8.86,67.05,3,0,8,4,0
5.12,69.82,4,3,52,5,0
9.21,52.49,2,4,23,5,1
6.96,77.24,2,3,22,2,0
6.9,21.12,3,2,4,3,0
7.25,61.41,4,1,16,3,0
7.52,85.87,2,1,54,3,0
8.42,58.73,5,0,56,5,0
6.06,72.49,5,0,6,1,0
7.07,72.31,2,4,52,6,1
7.02,42.78,0,4,36,4,1
8.34,93.91,2,2,48,1,1
10.0,45.76,2,6,56,2,1
7.99,39.92,2,1,22,3,0
5.68,57.05,3,3,36,3,1
7.06,32.51,1,3,29,0,0
7.14,19.62,2,1,34,2,0
6.44,32.66,3,3,38,4,1
6.38,82.95,4,3,43,1,0
9.01,24.8,8,3,44,5,1
7.55,44.49,3,5,53,4,1
7.02,64.66,2,5,21,7,1
7.02,49.69,1,3,14,1,0
6.78,50.65,3,2,17,2,1
7.35,88.72,4,5,54,2,1
7.94,56.03,4,3,7,2,0
8.86,64.08,2,4,26,2,1
8.13,63.14,4,2,7,4,1
7.58,69.23,0,5,31,4,1
7.57,60.74,6,4,3,2,1
7.06,44.24,3,3,30,3,1
6.72,34.75,1,2,18,6,0
4.89,96.55,1,1,21,3,1
7.15,73.66,2,1,22,1,0
8.47,7.41,4,1,57,4,0
9.29,44.68,5,2,56,1,0
6.08,42.8,4,1,7,3,0
5.37,27.66,3,6,35,2,1
6.48,24.2,1,3,5,5,1
8.22,61.52,5,5,44,2,1
7.35,17.11,5,1,14,1,0
7.1,59.89,1,7,17,4,1
8.08,51.39,4,2,20,3,1
7.0,63.4,5,4,23,0,0
6.85,49.51,1,1,20,2,1
5.59,81.53,5,5,37,0,0
7.54,56.21,0,2,52,2,1
6.78,40.63,2,2,31,4,1
9.13,63.92,2,2,20,0,0
7.59,55.92,1,1,7,0,1
8.64,93.21,5,5,7,2,0
6.0,56.96,4,4,36,2,1
8.2,58.34,6,3,23,6,0
7.12,44.58,2,2,30,2,1
6.82,70.19,8,5,43,2,1
6.92,55.1,0,3,25,7,1
7.85,41.01,6,4,39,2,0
6.93,100.0,2,3,50,3,1
8.5,35.14,1,3,44,3,0
7.23,5.63,1,3,9,4,1
6.34,26.91,1,4,58,2,0
7.16,61.48,1,3,11,4,0
6.64,69.59,4,6,19,3,1
10.0,42.78,3,3,28,3,0
7.31,39.86,5,4,44,3,0
6.81,78.63,4,4,39,3,0
7.06,50.09,2,3,42,1,0
8.99,71.86,2,4,42,2,1
6.58,36.67,4,6,52,2,0
8.03,91.85,2,3,22,2,1
4.0,30.65,2,1,41,4,1
9.78,58.19,2,5,28,2,0
7.43,38.71,2,3,31,2,1
7.76,47.65,1,0,7,4,1
8.96,60.2,4,4,30,7,1
6.93,81.11,4,3,23,5,1
7.75,62.54,7,4,39,3,0
7.51,32.82,6,2,40,1,0
7.99,54.8,0,4,13,3,1
5.51,0.0,5,0,48,6,0
8.26,50.13,5,3,5,1,0
8.09,61.48,5,2,40,2,0
6.7,68.41,5,6,48,2,1
7.52,78.44,7,2,20,7,1
7.01,28.14,1,3,19,6,1
6.67,59.41,3,3,45,2,0
7.52,24.51,3,2,58,1,0
5.72,6.03,3,1,3,5,0
7.32,63.76,2,5,16,1,1
8.58,25.9,5,3,16,1,0
4.0,55.74,3,4,24,1,1
5.24,55.77,5,4,30,1,0
5.07,32.59,2,4,4,1,1
7.81,49.19,4,2,46,6,1
6.95,59.5,4,4,20,6,1
5.96,49.29,3,4,52,1,1
10.0,5.45,2,4,19,4,0
7.16,35.03,4,2,36,1,0
5.46,90.43,3,3,28,5,1
8.97,57.85,1,4,31,3,1
6.74,64.8,5,4,13,6,1
6.18,48.51,3,3,32,4,1
9.22,100.0,5,5,39,2,1
5.96,70.29,3,5,33,4,1
8.9,48.21,4,1,23,2,0
7.85,29.62,1,0,52,1,0
6.35,70.3,3,3,20,6,1
7.21,21.87,4,2,7,3,0
6.09,32.66,2,4,50,2,0
6.52,86.7,5,3,44,6,0
8.09,40.8,4,2,6,4,0
8.63,47.92,5,4,41,6,0
7.11,75.71,5,2,29,3,0
8.99,64.3,3,3,56,2,0
7.24,24.11,3,3,4,1,0
7.06,43.52,4,1,9,3,1
5.16,62.77,1,1,14,2,1
7.29,55.97,6,2,14,4,1
7.28,40.83,3,4,57,9,1
8.83,53.28,0,3,59,4,0
8.34,65.92,3,2,11,0,0
7.71,60.89,3,3,2,5,1
7.04,38.73,1,5,57,4,0
8.37,56.97,3,3,13,2,0
7.25,59.17,3,5,51,2,0
6.17,68.33,2,0,13,4,0
10.0,56.4,5,3,13,2,0
5.79,46.07,3,0,52,1,0
7.37,51.43,0,1,53,3,1
5.6,81.77,1,3,9,2,1
8.27,75.72,3,7,27,4,1
8.85,45.52,3,1,29,5,1
7.21,58.71,5,5,37,4,1
7.56,42.9,3,1,22,5,0
8.73,34.38,2,2,53,4,0
6.31,59.9,1,5,27,2,1
5.32,71.23,3,1,59,1,1
6.86,22.75,2,5,48,2,0
5.6,76.03,2,4,55,3,1
7.96,37.22,3,6,43,2,0
7.6,42.56,5,1,14,3,1
8.28,95.22,3,3,37,2,1
6.62,43.28,2,4,9,3,1
9.37,43.95,3,0,55,3,0
5.75,24.92,1,3,46,3,0
7.81,67.75,5,7,44,2,1
7.76,33.89,2,4,9,2,1
6.59,44.91,3,4,29,5,1
7.9,10.9,9,2,43,2,0
8.56,100.0,3,2,41,3,1
6.73,29.46,4,4,47,6,1
7.44,75.08,4,2,6,1,0
6.0,79.08,3,1,30,5,0
5.58,25.93,5,1,46,4,0
5.13,30.71,3,6,47,4,1
8.09,80.02,6,2,26,3,1
6.18,37.11,2,2,20,1,1
7.26,60.39,3,1,13,3,1
6.27,65.11,3,4,2,2,1
7.49,76.82,2,5,57,1,1
9.26,28.86,0,2,20,6,0
9.77,51.44,3,3,32,3,1
6.32,57.67,4,7,39,3,1
7.83,80.25,0,4,56,3,0
7.34,74.29,3,1,51,7,1
6.51,51.93,3,2,40,2,0
9.31,38.41,1,2,16,3,0
8.57,17.56,5,3,58,4,0
8.1,19.08,2,3,40,2,0
7.35,10.8,6,5,39,2,0
4.96,46.11,3,1,26,1,0
7.73,69.69,6,1,11,3,1
8.72,55.69,4,1,16,2,0
7.89,7.01,7,2,52,0,0
7.74,68.65,4,4,35,1,1
6.08,24.45,0,1,57,0,0
6.62,52.55,4,3,56,3,1
6.21,52.25,1,5,24,3,0
8.36,72.93,8,2,1,4,0
5.04,73.82,6,2,54,3,0
6.55,67.32,3,0,12,7,1
8.46,41.49,3,2,8,4,0
8.98,33.35,6,2,45,2,0
7.36,77.87,0,1,16,4,1
6.34,59.35,3,3,32,7,1
8.09,52.22,4,2,34,2,1
8.86,34.78,5,2,41,0,0
6.19,50.89,0,4,20,1,1
6.28,51.35,4,1,51,1,0
7.16,50.52,3,4,58,5,1
8.91,86.99,1,2,53,3,0
8.07,76.05,2,5,51,3,1
7.56,47.2,3,4,47,3,1
7.43,48.57,2,2,47,4,0
8.84,54.03,1,5,8,1,1
7.16,35.83,2,6,29,1,0
7.63,70.57,3,5,32,3,0
9.68,52.82,0,3,16,3,0
6.88,50.1,5,4,1,1,0
7.27,61.16,3,8,20,3,1
8.39,38.28,4,2,21,5,1
7.52,59.1,4,3,41,2,1
7.29,40.66,1,0,42,3,0
5.39,23.18,4,8,13,4,1
7.2,32.43,2,1,24,3,0
6.02,56.61,2,4,32,3,1
7.05,46.81,0,1,31,0,0
7.99,98.94,3,6,24,1,1
6.86,38.59,5,2,58,4,0
6.91,64.8,4,3,32,4,1
7.39,67.11,3,6,24,5,1
5.89,50.91,2,0,42,3,0
7.13,87.63,3,1,27,1,0
6.77,79.99,2,4,44,6,1
4.93,44.32,2,0,21,5,1
7.07,53.39,8,4,10,4,1
8.16,33.4,2,3,32,3,0
8.2,93.78,3,6,11,6,1
5.53,62.31,7,4,11,0,0
7.22,62.81,3,5,3,3,0
8.48,66.79,4,5,44,2,1
9.29,66.02,5,4,55,1,0
6.74,36.5,3,1,55,0,0
9.11,60.23,5,3,26,1,0
9.58,73.44,3,3,45,1,0
7.92,52.75,3,2,51,1,1
9.37,55.57,0,4,43,3,0
6.86,61.21,1,2,7,2,0
7.22,62.34,1,1,38,4,1
8.27,73.96,4,3,45,4,0
5.66,40.16,4,1,44,3,0
6.63,2.97,1,4,27,3,0
7.89,36.98,5,2,10,2,1
7.06,98.19,0,6,35,1,1
8.12,53.88,5,2,24,5,1
7.67,71.19,4,8,55,1,1
5.84,49.29,5,1,39,1,0
5.09,23.54,4,1,29,1,0
7.07,49.45,2,4,20,4,0
7.82,30.33,3,2,59,1,0
7.93,65.39,2,4,31,3,1
8.0,46.54,4,4,51,4,0
9.82,45.92,3,5,21,3,0
8.09,48.19,2,3,6,3,1
5.9,42.77,4,2,35,0,0
7.06,27.06,4,4,12,5,1
6.33,32.62,1,1,28,1,1
8.5,100.0,4,1,48,0,1
5.37,61.57,2,4,27,4,0
5.56,29.99,2,2,57,5,0
9.8,33.57,2,4,24,3,0
9.21,31.39,4,3,3,3,0
5.15,37.63,4,2,56,4,0
7.61,69.17,2,2,6,3,1
7.23,76.5,4,3,60,2,0
10.0,56.87,5,5,53,2,0
6.94,48.27,4,4,28,3,0
7.35,59.21,5,3,39,3,0
7.21,26.67,4,5,6,2,1
6.74,49.13,4,4,14,2,1
9.39,36.52,5,4,19,5,0
7.82,82.55,4,3,21,4,0
6.33,37.14,2,5,21,3,1
6.14,60.94,4,1,28,0,0
6.84,71.87,4,3,26,3,0
7.07,0.0,5,2,23,5,0
8.64,35.73,2,2,1,5,1
5.92,44.9,1,5,30,3,1
5.69,61.9,3,7,28,3,1
6.54,67.37,4,2,25,1,1
6.87,99.33,2,5,45,4,1
6.76,23.89,3,5,8,4,1
7.47,33.83,8,1,27,4,0
9.03,51.52,3,3,16,6,0
8.1,16.78,4,7,45,0,0
8.47,65.39,2,0,51,6,1
5.45,47.72,1,2,4,0,0
8.32,84.05,5,2,55,5,0
7.95,37.46,5,2,46,0,0
7.21,44.22,2,2,31,4,0
6.47,50.43,2,3,44,5,1
9.11,95.67,2,1,12,4,1
4.92,42.24,2,2,2,1,1
8.14,79.14,3,5,28,4,1
6.48,46.77,5,1,57,4,0
8.06,49.2,4,3,36,3,0
6.46,73.71,5,3,53,2,0
8.21,30.29,6,4,47,1,0
8.77,67.32,1,6,51,5,1
7.2,79.35,1,1,1,2,1
8.46,46.28,4,3,40,4,1
7.43,41.9,5,2,32,4,0
5.01,54.11,4,2,1,8,1
6.12,74.1,1,5,55,2,1
5.71,51.55,2,2,60,5,0
7.8,16.06,2,3,43,3,0
8.24,37.85,3,2,44,3,0
8.0,83.14,3,1,14,1,0
5.38,100.0,4,4,57,2,1
7.62,28.06,2,2,9,8,1
7.15,40.21,2,3,48,3,1
5.66,88.46,2,1,41,2,0
7.55,88.21,1,5,4,1,1
6.22,29.71,2,4,36,2,1
6.87,48.57,2,3,19,1,0
7.84,58.56,3,4,43,3,0
4.0,52.87,0,3,3,4,1
5.91,89.7,7,3,32,3,1
5.91,29.04,1,1,26,4,0
10.0,44.01,1,3,32,2,0
7.7,35.0,2,4,29,3,1
7.13,78.6,2,2,24,2,0
8.61,53.99,4,4,26,4,0
7.17,42.49,0,4,34,2,0
4.71,100.0,4,4,25,5,1
7.46,58.66,1,5,57,3,0
7.38,65.6,4,3,45,4,0
7.95,41.48,3,3,49,3,0
6.22,49.54,0,5,22,1,1
6.57,18.9,3,6,60,6,0
5.24,61.69,4,7,47,3,1
5.89,70.16,1,4,40,2,1
6.31,60.03,5,3,39,1,1
8.85,66.74,3,5,34,5,0
8.84,63.86,3,4,32,6,0
7.59,27.48,4,9,47,5,0
5.78,48.29,2,5,14,5,1
6.33,48.3,4,5,8,6,0
8.01,74.93,3,3,48,2,0
8.03,29.57,7,2,2,2,0
8.64,39.97,2,2,1,1,0
8.21,56.97,0,2,57,2,1
8.31,50.65,4,5,36,7,1
7.34,55.77,4,4,12,1,1
6.99,58.85,5,0,57,3,0
7.18,30.2,3,5,36,0,0
5.76,12.79,5,5,21,4,0
8.01,38.75,4,1,10,4,1
7.46,27.65,1,0,12,3,0
6.8,90.74,2,3,44,2,1
7.67,56.53,3,7,29,4,1
8.19,5.67,5,4,49,1,0
7.97,57.12,3,4,52,2,1
9.78,59.2,2,2,53,4,1
5.81,54.33,4,3,36,3,1
9.76,53.78,3,3,57,4,1
7.42,41.18,1,5,53,3,0
9.03,22.1,3,4,33,1,0
8.12,47.57,2,3,10,5,0
5.26,48.41,4,2,25,3,1
8.38,31.12,1,4,52,2,0
6.08,31.16,4,3,24,3,0
7.07,51.04,3,5,15,1,0
5.09,25.78,3,4,11,1,0
7.11,63.09,2,3,3,0,0
7.41,58.38,1,4,49,4,0
6.68,52.49,4,4,7,4,1
7.28,99.7,1,2,35,7,1
8.53,39.89,2,6,8,3,0
5.58,29.79,4,4,11,3,1
6.41,98.62,2,2,8,2,1
7.91,100.0,6,2,54,5,1
6.56,38.21,4,4,27,7,1
6.2,52.1,3,0,43,2,0
8.07,53.65,5,4,44,4,0
5.43,22.77,1,4,7,5,1
5.54,21.35,2,2,24,4,1
6.42,51.8,2,3,8,3,1
7.68,47.66,5,0,52,2,0
6.38,22.44,2,6,47,5,1
8.47,44.28,3,1,29,2,0
7.93,13.04,1,0,60,1,0
9.46,47.92,4,3,51,1,0
7.07,63.15,3,2,47,5,0
6.17,56.1,1,6,55,3,0
9.31,43.75,5,3,3,3,0
8.57,71.67,2,4,56,2,0
6.07,44.43,2,2,47,4,1
8.56,48.45,4,2,20,2,0
9.15,47.18,4,3,30,2,0
4.68,46.56,4,6,48,2,1
7.64,48.92,5,7,2,4,1
7.08,45.35,5,1,12,2,0
6.88,52.87,5,3,32,2,0
7.77,72.14,5,2,26,4,1
8.25,36.23,3,3,2,2,1
6.59,28.29,1,2,9,3,1
5.73,75.34,4,5,48,2,1
6.57,31.26,3,3,52,4,0
7.35,47.99,5,1,34,3,0
10.0,64.91,1,3,4,1,0
6.78,61.52,2,3,45,3,0
7.32,58.15,4,5,58,4,0
7.6,82.41,5,1,19,2,1
6.01,37.05,4,1,51,3,1
5.3,34.74,3,2,46,1,0
7.7,84.84,4,5,2,2,1
5.18,65.42,1,4,43,3,1
4.78,33.57,5,1,40,2,0
7.53,70.21,5,3,36,2,0
4.48,54.12,3,0,57,5,0
6.66,39.31,3,3,25,7,1
7.04,46.01,3,3,48,2,0
4.0,58.64,3,0,56,3,0
6.23,77.18,5,3,29,1,1
7.85,26.12,5,2,28,3,0
